name,mass,massRound,year,reclat,reclong
Gladstone (stone),57300,5,1936,36.3,-104
Warburton Range,56930,5,1963,-26.28333,126.66667
Farmville,56000,5,1934,35.55,-77.53333
Jenkins,55400,5,1946,36.82444,-93.76111
Ashmore,55400,5,1969,32.9,-102.28333
Kulnine,55300,5,1886,-34.15,141.78333
Wellman (a),55000,5,1940,33.03333,-102.33333
Rosebud,54900,5,1915,30.81667,-97.05
Elenovka,54640,5,1951,47.83333,37.66667
Aprel'sky,54600,5,1969,53.3,126.11667
Markovka,54200,5,1967,52.4,79.8
Veramin,54000,5,1880,35.33333,51.63333
Uwet,54000,5,1903,5.28333,8.25
Chihuahua City,54000,5,1929,28.66667,-106.11667
Dunganville,54000,5,1976,-42.55,171.35
Kumerina,53500,5,1937,-24.91667,119.41667
Ruff's Mountain,53070,5,1844,34.3,-81.4
Dalton,53000,5,1879,34.8,-84.98333
Nan Yang Pao,52900,5,1917,35.66667,103.5
Ahumada,52600,5,1909,30.7,-105.5
Stannern,52000,5,1808,49.28333,15.56667
Benjamin,51800,5,1969,33.58333,-99.8
Ilimaes (iron),51700,5,1870,-26,-70
Lancé,51700,5,1872,47.7,1.06667
Grand Rapids,51700,5,1883,42.96667,-85.76667
Leedey,51500,5,1943,35.88333,-99.33333
Mungindi,51300,5,1897,-28.93333,148.95
Willow Creek,51000,5,1914,43.46667,-106.76667
La Grange,50800,5,1860,38.4,-85.36667
Davy (a),50600,5,1940,29.1,-97.6
Richland,50600,5,1951,31.9,-96.4
Santa Vitoria do Palmar,50400,5,2003,-33.50944,-53.41083
Northwest Africa 1581,50200,5,2001,31.38333,-4.25
Limerick,50000,5,1813,52.56667,-8.78333
Ausson,50000,5,1858,43.08333,0.58333
Aumale,50000,5,1865,36.16667,3.66667
Waconda,50000,5,1873,39.33333,-98.16667
Winburg,50000,5,1881,-28.5,27
Hinojal,50000,5,1927,-32.36667,-60.15
Krymka,50000,5,1946,47.83333,30.76667
Valera,50000,5,1972,9.31667,-70.62833
Nuevo Mercurio,50000,5,1978,24.3,-102.13333
Akyumak,50000,5,1981,39.91667,42.81667
Wuan,50000,5,1986,36.75,114.25
Ingella Station,50000,5,1987,-25.55,142.78333
Zagora,50000,5,1987,30.36667,-5.85
Hammadah al Hamra 153,50000,5,1995,28.60033,13.5775
Northwest Africa 5775,50000,5,2006,0,0
Northwest Africa 6903,50000,5,2008,32.37167,-6.36
Dhofar 1654,50000,5,2011,18.67877,54.2876
Jiddat al Harasis 342,49750,5,2006,19.71458,56.54755
Hraschina,49000,5,1751,46.1,16.33333
Agua Blanca,49000,5,1938,-28.91667,-66.95
Mapleton,49000,5,1939,42.18333,-95.71667
Thule,48600,5,1955,76.53333,-67.55
Cabin Creek,48500,5,1886,35.5,-93.5
Crab Orchard,48500,5,1887,35.83333,-84.91667
Bear Lodge,48500,5,1931,44.5,-104.2
Bischtübe,48250,5,1888,51.95,62.2
Woodbine,48200,5,1953,42.34667,-90.1675
Jackalsfontein,48000,5,1903,-32.5,21.9
Bagnone,48000,5,1904,44.31667,9.98333
Sukhoj Liman,48000,5,1987,46.4,30.8
Dresden (Ontario),47700,5,1939,42.52,-82.26
Red Rock,47600,5,1976,35.41667,-117.91667
Roy (1933),47200,5,1933,35.95,-104.2
Gomez,47000,5,1974,33.18139,-102.40139
Rancho de la Pila (1882),46500,5,1882,24.11667,-104.3
Harrisonville,46500,5,1933,38.65,-94.33333
Cuero,46500,5,1936,29.01667,-97.28333
Lakewood,46500,5,1955,32.62972,-104.35
Osseo,46300,5,1931,47.63333,-80.08333
Jiddat al Harasis 203,46200,5,2002,19.983,56.41368
Dumas (a),46050,5,1956,35.9,-101.9
Linwood,46000,5,1940,41.43333,-96.96667
Asuka 87251,46000,5,1987,-72,26
Peace River,45760,5,1963,56.13333,-117.93333
Woodward County,45500,5,1923,36.5,-99.5
Northwest Africa 7150,45326,5,2011,0,0
Needles,45300,5,1962,34.44417,-114.8325
Thuathe,45300,5,2002,-29.33333,27.58333
Kyushu,45000,5,1886,32.03333,130.63333
Marjalahti,45000,5,1902,61.5,30.5
Kuttippuram,45000,5,1914,10.83333,76.03333
Sandia Mountains,45000,5,1925,35.25,-106.5
Wellman (c),45000,5,1964,33.03333,-102.33333
Dhajala,45000,5,1976,22.37778,71.42722
La Criolla,45000,5,1985,-31.23333,-58.16667
Vyatka,45000,5,1991,57.53333,49
Hammadah al Hamra 173,45000,5,1996,28.63667,13.1965
Bensour,45000,5,2002,30,-7
Dhofar 1433,44790,5,2006,18.43333,54.1
Saginaw,44500,5,1979,32.86583,-97.32306
Beenham,44400,5,1937,36.21667,-103.65
Northwest Africa 5460,44400,5,2006,0,0
Kelly,44300,5,1937,40.46667,-103.03333
Zemaitkiemis,44100,5,1933,55.3,25
Rodeo,44000,5,1852,25.33333,-104.66667
Dix,44000,5,1927,41.23333,-103.48333
Barwell,44000,5,1965,52.56528,-1.33972
Ust-Nyukzha,44000,5,1992,56.38333,120.46667
Dar al Gani 610,44000,5,1998,26.85,16.73333
Horh Uul,44000,5,2001,43.25,104.16667
Seminole,43900,5,1961,32.68333,-102.61667
Dhofar 1288,43600,5,2004,18.27833,54.285
Sayh al Uhaymir 270,43508,5,2003,20.72918,57.189
Staunton,43500,5,1869,38.21667,-79.05
Northwest Africa 7144,43418,5,2011,0,0
Tombigbee River,43000,5,1859,32.23333,-88.2
Chilkoot,43000,5,1881,59.33333,-136
Aggie Creek,43000,5,1942,64.88333,-163.16667
Lixian,43000,5,2005,29.85167,111.59833
Northwest Africa 6411,43000,5,2006,0,0
Dhofar 1565,43000,5,2008,18.2735,54.21367
Merceditas,42900,5,1884,-26.33333,-70.28333
Dhofar 1426,42850,5,2001,19.173,54.70407
Joe Wright Mountain,42600,5,1884,35.76667,-91.5
Ballinoo,42200,5,1892,-27.7,115.76667
Macy,42000,5,1984,34.21667,-103.91667
Zhaodong,42000,5,1984,45.81667,125.91667
Piplia Kalan,42000,5,1996,26.03472,73.94167
Point Berliet,42000,5,2001,20.537,9.53783
Northwest Africa 055,42000,5,,32.05,-3.03333
Bonita Springs,41800,5,1938,26.26667,-81.75
Anton,41800,5,1965,33.7825,-102.18111
Karoonda,41730,5,1930,-35.08333,139.91667
Tieraco Creek,41700,5,1922,-26.33333,118.33333
Al Huqf 010,41539,5,2002,19.86785,57.0028
Cacaria,41400,5,1867,24.5,-104.8
Clovis (no. 2),41300,5,1963,34.3,-103.13333
Obernkirchen,41000,5,1863,52.26667,9.1
Butler,41000,5,1874,38.3,-94.36667
Balsas,41000,5,1974,-7.53133,-46.04117
Buzzard Coulee,41000,5,2008,52.996,-109.84817
Brownfield (1937),40960,5,1937,33.21667,-102.18333
Glenormiston,40800,5,1925,-22.9,138.71667
Millen,40800,5,1975,32.83528,-81.87389
Richfield,40800,5,1983,37.22222,-101.68139
Orlovka,40500,5,1928,56,76.75
Johnstown,40300,5,1924,40.35,-104.9
Pavlograd,40000,5,1826,48.53333,35.98333
Uberaba,40000,5,1903,-19.81667,-48.78333
Olmedilla de Alarcón,40000,5,1929,39.56667,-2.1
Nullarbor 001,40000,5,1935,-31,132
El Simbolar,40000,5,1938,-30.63333,-64.88333
Wynella,40000,5,1945,-28.95,148.13333
Calliham,40000,5,1958,28.41667,-98.25
Yilmia,40000,5,1969,-31.19167,121.53333
Jerslev,40000,5,1976,55.608833,11.229167
Sivas,40000,5,1989,39.82467,36.13583
Lohawat,40000,5,1994,26.96556,72.62667
Dronino,40000,5,2000,54.74667,41.42167
Pinnaroo,39400,5,1927,-35.38333,140.91667
Braunau,39000,5,1847,50.6,16.3
Shingle Springs,39000,5,1869,38.66667,-120.93333
Guareña,39000,5,1892,38.73333,-6.01667
Manitouwabing,39000,5,1962,45.44,-79.87556
Bechar 001,39000,5,1998,30.83333,-3.33333
